[表題行],部門,勘定科目,補助科目,日付,伝票No.,作業日付,仕訳番号,決算,調整,付箋１,付箋２,タイプ,生成元,部門,税区分,税計算区分,相手勘定科目,相手補助科目,相手部門,相手税区分,相手税計算区分,借方金額,借方税額,貸方金額,貸方税額,金額,残高,摘要,請求書区分,仕入税額控除,期日,番号,仕訳メモ
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897552,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,16084443,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897553,,NO,,,[振伝],,,,,外注費,ｵｰﾄﾏﾁｯｸﾄﾚｰﾄﾞ㈱,,課対仕入10%,内税,,,220000,,-220000,15864443,ｵｰﾄﾏﾁｯｸﾄﾚｰﾄﾞ㈱　ｽｸﾘｰﾆﾝｸﾞｿﾌﾄ月額利用料　12月　PEAK ONE. LLC,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897554,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,15864003,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897555,,NO,,,[振伝],,,,,未払金,ﾊﾞﾘｭｰｸﾘｴｰｼｮﾝ㈱,,,,,,631701,,-631701,15232302,ﾊﾞﾘｭｰｸﾘｴｰｼｮﾝ㈱　広告費･運用費　11月　(同)ｼｴｽﾀ,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897556,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,15231862,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897557,,NO,,,[振伝],,,,,諸口,,,,,,,1111000,,-1111000,14120862,㈱DYMｷｬﾘｱ　上中野僚・石原陽平　業務委託費　12月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897561,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,440,,-440,14120422,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897562,,NO,,,[振伝],,,,,諸口,,,,,,,49895,,-49895,14070527,法律事務所ｲｵﾀ前川晶　顧問報酬　12月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897565,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,440,,-440,14070087,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897566,,NO,,,[振伝],,,,,諸口,,,,,,,0,,0,14070087,降旗登税理士事務所　顧問報酬　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897570,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,0,,0,14070087,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897571,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,33000,,-33000,14037087,税理士法人TM総合会計事務所　顧問報酬　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897572,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,440,,-440,14036647,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897573,,NO,,,[振伝],,,,,諸口,,,,,,,335984,,-335984,13700663,㈱DYM　和田顧問　顧問料　12月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897577,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,440,,-440,13700223,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897578,,NO,,,[振伝],,,,,諸口,,,,,,,27745,,-27745,13672478,三友ｻｰﾋﾞｽ㈱　ｶﾂﾐﾋﾞﾙ電気料金,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897581,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,275,,-275,13672203,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897582,,NO,,,[振伝],,,,,諸口,,,,,,,0,,0,13672203,ｶﾂﾐﾋﾞﾙ管理組合 ｶﾂﾐﾋﾞﾙ水道料金,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897585,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,0,,0,13672203,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897586,,NO,,,[振伝],,,,,未払金,11月販管費,,,,,,3058,,-3058,13669145,㈱ｽｶｲ　立替費用　書籍ﾊﾟﾚｯﾄ料金　11月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,74,令和6年12月24日,897587,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,275,,-275,13668870,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,127,令和6年12月11日,871162,,NO,,,[振伝],,,,,諸口,,,,,,,88810,,-88810,13580060,児玉代表　経費精算　11月　合計,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,127,令和6年12月11日,871164,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,共対仕入10%,内税,,,440,,-440,13579620,振込手数料,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,130,令和6年12月11日,871367,,NO,,,[振伝],,,,,売掛金,㈱ｼﾞｪｲ･ｱｲ･ｴｽ(売上預け金),,,,750427,,,,750427,14330047,㈱ｼﾞｪｲ･ｱｲ･ｴｽ ﾃﾚｺﾑｸﾚｼﾞｯﾄ　ｸﾚｼﾞｯﾄｶｰﾄﾞ 売上預け金 11月,,,,,
